"NO","v1","v2","r2","v3","r3","","","","","",""
"158","1","3","0.25","3","0.25","","","","","",""
"159","1","3","0.125","3","0.25","","","","","",""
"160","1","1.285714","0.166667","3","0.083333","","","","","",""
"161","1","1.285714","0.166667","2.4","0.333333","","","","","",""
"162","1","2.25","0.083333","4","0.208333","","","","","",""
"163","1","1.5","0.083333","2.4","0.25","","","","","",""
"164","1","1.5","0.083333","3","0.166667","","","","","",""
"165","1","3","0.166667","2","0.125","","","","","",""
"166","1","3","0.208333","2.4","0.083333","","","","","",""
"167","1","2.25","0.166667","4","0.083333","","","","","",""
"168","1","3","0.25","2.4","0.125","","","","","",""
"169","1","1.8","0.291667","2.4","0.125","","","","","",""
"170","1","1.285714","0.166667","3","0.083333","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
